Timestamp,Frame_number,Total_Blinks,Avg_blink_duration
0.0,0,0,0.0
0.03333333333333333,1,0,0.0
0.06666666666666667,2,0,0.0
0.1,3,0,0.0
0.13333333333333333,4,0,0.0
0.16666666666666666,5,0,0.0
0.2,6,0,0.0
0.23333333333333334,7,0,0.0
0.26666666666666666,8,0,0.0
0.3,9,0,0.0
0.3333333333333333,10,0,0.0
0.36666666666666664,11,0,0.0
0.4,12,0,0.0
0.43333333333333335,13,0,0.0
0.4666666666666667,14,0,0.0
0.5,15,0,0.0
0.5333333333333333,16,0,0.0
0.5666666666666667,17,0,0.0
0.6,18,0,0.0
0.6333333333333333,19,0,0.0
0.6666666666666666,20,0,0.0
0.7,21,0,0.0
0.7333333333333333,22,0,0.0
0.7666666666666667,23,0,0.0
0.8,24,0,0.0
0.8333333333333334,25,0,0.0
0.8666666666666667,26,0,0.0
0.9,27,0,0.0
0.9333333333333333,28,0,0.0
0.9666666666666667,29,0,0.0
1.0,30,0,0.0
1.0333333333333334,31,1,0.14114594459533691
1.0666666666666667,32,1,0.14114594459533691
1.1,33,1,0.14114594459533691
1.1333333333333333,34,1,0.14114594459533691
1.1666666666666667,35,1,0.14114594459533691
1.2,36,1,0.14114594459533691
1.2333333333333334,37,1,0.14114594459533691
1.2666666666666666,38,1,0.14114594459533691
1.3,39,1,0.14114594459533691
1.3333333333333333,40,1,0.14114594459533691
1.3666666666666667,41,1,0.14114594459533691
1.4,42,1,0.14114594459533691
1.4333333333333333,43,1,0.14114594459533691
1.4666666666666666,44,1,0.14114594459533691
1.5,45,1,0.14114594459533691
1.5333333333333334,46,1,0.14114594459533691
1.5666666666666667,47,1,0.14114594459533691
1.6,48,1,0.14114594459533691
1.6333333333333333,49,1,0.14114594459533691
1.6666666666666667,50,1,0.14114594459533691
1.7,51,1,0.14114594459533691
1.7333333333333334,52,1,0.14114594459533691
1.7666666666666666,53,1,0.14114594459533691
1.8,54,1,0.14114594459533691
1.8333333333333333,55,1,0.14114594459533691
1.8666666666666667,56,1,0.14114594459533691
1.9,57,1,0.14114594459533691
1.9333333333333333,58,1,0.14114594459533691
1.9666666666666666,59,1,0.14114594459533691
2.0,60,1,0.14114594459533691
2.033333333333333,61,1,0.14114594459533691
2.066666666666667,62,1,0.14114594459533691
2.1,63,1,0.14114594459533691
2.1333333333333333,64,1,0.14114594459533691
2.1666666666666665,65,1,0.14114594459533691
2.2,66,1,0.14114594459533691
2.2333333333333334,67,1,0.14114594459533691
2.2666666666666666,68,1,0.14114594459533691
2.3,69,1,0.14114594459533691
2.3333333333333335,70,1,0.14114594459533691
2.3666666666666667,71,1,0.14114594459533691
2.4,72,1,0.14114594459533691
2.433333333333333,73,1,0.14114594459533691
2.466666666666667,74,1,0.14114594459533691
2.5,75,1,0.14114594459533691
2.533333333333333,76,1,0.14114594459533691
2.566666666666667,77,1,0.14114594459533691
2.6,78,1,0.14114594459533691
